timestamp,signal,total_signals,positive_outcomes,hit_rate_%,avg_return_%
2025-06-02 19:12:45,HOLD,21172,9981,47.1,-0.07
2025-06-02 19:27:49,BUY,141,141,100.0,909.9
2025-06-02 19:27:49,SELL,1373,953,69.4,0.73
2025-06-02 19:27:49,HOLD,21500,10197,47.4,-0.07
2025-06-02 19:42:53,BUY,142,142,100.0,909.9
2025-06-02 19:42:53,SELL,1396,969,69.4,0.73
2025-06-02 19:42:53,HOLD,21828,10380,47.6,-0.06
2025-06-02 19:57:56,BUY,143,143,100.0,909.9
2025-06-02 19:57:56,SELL,1419,986,69.5,0.73
2025-06-02 19:57:56,HOLD,22156,10593,47.8,-0.06
2025-06-02 20:13:00,BUY,144,144,100.0,909.9
2025-06-02 20:13:00,SELL,1442,1003,69.6,0.74
2025-06-02 20:13:00,HOLD,22484,10807,48.1,-0.05
2025-06-02 20:28:04,BUY,145,145,100.0,909.9
2025-06-02 20:28:04,SELL,1465,1023,69.8,0.75
2025-06-02 20:28:04,HOLD,22812,11047,48.4,-0.04
2025-06-02 20:43:07,BUY,146,146,100.0,909.9
2025-06-02 20:43:07,SELL,1488,1041,70.0,0.75
2025-06-02 20:43:07,HOLD,23140,11272,48.7,-0.03
2025-06-02 20:58:11,BUY,147,147,100.0,909.9
2025-06-02 20:58:11,SELL,1511,1058,70.0,0.76
2025-06-02 20:58:11,HOLD,23468,11476,48.9,-0.02
2025-06-02 21:13:14,BUY,148,148,100.0,909.9
2025-06-02 21:13:14,SELL,1534,1075,70.1,0.75
2025-06-02 21:13:14,HOLD,23796,11673,49.1,-0.02
2025-06-02 21:28:18,BUY,149,149,100.0,909.9
2025-06-02 21:28:18,SELL,1557,1093,70.2,0.75
2025-06-02 21:28:18,HOLD,24124,11870,49.2,-0.02
2025-06-02 21:43:22,BUY,150,150,100.0,909.9
2025-06-02 21:43:22,SELL,1580,1109,70.2,0.75
2025-06-02 21:43:22,HOLD,24452,12030,49.2,-0.02
2025-06-02 21:58:25,BUY,151,151,100.0,909.9
2025-06-02 21:58:25,SELL,1603,1125,70.2,0.74
2025-06-02 21:58:25,HOLD,24780,12217,49.3,-0.01
2025-06-02 22:13:28,BUY,152,152,100.0,909.9
2025-06-02 22:13:28,SELL,1626,1146,70.5,0.75
2025-06-02 22:13:28,HOLD,25108,12465,49.6,-0.0
2025-06-02 22:43:31,BUY,153,153,100.0,909.9
